country	latest	cases	hospital_yes	icu_yes	outcome_admit	outcome_icu	outcome_death	who_Date_reported	who_Cumulative_cases	who_Cumulative_deaths	case_pct	death_pct	mortality	data_age	data_cat
BT	2020-02-05	2	0	0	0	0	0	2023-03-29	62648	21	0.0	0.0	0.0	1154	1y+
SK	2020-05-27	1515	0	0	0	0	0	2023-03-29	1865182	21092	0.0	0.0	0.0	1042	1y+
CZ	2022-03-28	3799151	0	0	0	0	0	2023-03-29	4631804	42635	82.0	0.0	0.0	372	1y+
GI	2020-03-03	1	0	0	0	0	0	2023-03-29	20462	111	0.0	0.0	0.0	1127	1y+
VN	2020-03-07	32	0	0	0	0	0	2023-03-29	11527210	43186	0.0	0.0	0.0	1123	1y+
AR	2022-02-13	8726835	228792	48062	24	0	124088	2023-03-29	10044957	130472	87.0	95.0	1.4	415	1y+
GQ	2020-03-27	13	0	0	0	0	0	2023-03-29	17130	183	0.0	0.0	0.0	1103	1y+
TR	2020-05-27	159779	0	0	0	0	0	2023-03-29	17004677	101419	1.0	0.0	0.0	1042	1y+
PA	2020-03-09	2	0	0	0	0	0	2023-03-29	1032939	8612	0.0	0.0	0.0	1121	1y+
CN	2022-02-04	6	0	0	0	0	0	2023-03-29	99238143	120894	0.0	0.0	0.0	424	1y+
LU	2020-03-06	3	0	0	0	0	0	2023-03-29	319599	1230	0.0	0.0	0.0	1124	1y+
HR	2020-05-24	2249	0	0	0	0	0	2023-03-29	1270513	18044	0.0	0.0	0.0	1045	1y+
KZ	2020-03-30	49	0	0	0	0	0	2023-03-29	1500531	19071	0.0	0.0	0.0	1100	1y+
MY	2020-02-15	30	0	0	0	0	0	2023-03-29	5047040	36972	0.0	0.0	0.0	1144	1y+
NG	2020-05-19	6403	0	0	0	0	0	2023-03-29	266660	3155	2.0	0.0	0.0	1050	1y+
MU	2020-03-27	89	0	0	0	0	0	2023-03-29	297262	1044	0.0	0.0	0.0	1103	1y+
MA	2020-03-04	4	0	0	0	0	0	2023-03-29	1272622	16296	0.0	0.0	0.0	1126	1y+
IR	2020-03-05	7026	0	0	0	0	4	2023-03-29	7585422	145220	0.0	0.0	0.1	1125	1y+
SI	2020-06-15	1496	0	0	0	0	0	2023-03-29	1338718	9201	0.0	0.0	0.0	1023	1y+
TD	2020-03-26	5	0	0	0	0	0	2023-03-29	7688	194	0.0	0.0	0.0	1104	1y+
AD	2020-03-02	1	0	0	0	0	0	2023-03-29	47917	159	0.0	0.0	0.0	1128	1y+
