start_date	fips	start_deaths	end_date	end_deaths	deaths	preventable_est
2021-04-15	08043	54.0	2022-09-25	198.0	144	95
2021-04-15	08045	38.0	2022-09-25	102.0	64	42
2021-04-15	08047	3.0	2022-09-25	6.0	3	2
2021-04-15	08049	6.0	2022-09-25	28.0	22	15
2021-04-15	08051	6.0	2022-09-25	15.0	9	6
2021-04-15	08053	0.0	2022-09-25	0.0	0	0
2021-04-15	08055	16.0	2022-09-25	38.0	22	15
2021-04-15	08057	0.0	2022-09-25	0.0	0	0
2021-04-15	08059	738.0	2022-09-25	1444.0	706	467
2021-04-15	08061	3.0	2022-09-25	6.0	3	2
2021-04-15	08063	11.0	2022-09-25	34.0	23	15
2021-04-15	08065	0.0	2022-09-25	2.0	2	1
2021-04-15	08067	38.0	2022-09-25	90.0	52	34
2021-04-15	08069	231.0	2022-09-25	549.0	318	210
2021-04-15	08071	11.0	2022-09-25	45.0	34	22
2021-04-15	08073	4.0	2022-09-25	11.0	7	5
2021-04-15	08075	65.0	2022-09-25	115.0	50	33
2021-04-15	08077	209.0	2022-09-25	603.0	394	260
2021-04-15	08079	1.0	2022-09-25	3.0	2	1
2021-04-15	08081	22.0	2022-09-25	54.0	32	21
2021-04-15	08083	23.0	2022-09-25	83.0	60	40
2021-04-15	08085	57.0	2022-09-25	172.0	115	76
2021-04-15	08087	93.0	2022-09-25	140.0	47	31
2021-04-15	08089	63.0	2022-09-25	132.0	69	46
2021-04-15	08091	3.0	2022-09-25	6.0	3	2
2021-04-15	08093	5.0	2022-09-25	22.0	17	11
2021-04-15	08095	13.0	2022-09-25	19.0	6	4
2021-04-15	08097	4.0	2022-09-25	8.0	4	3
2021-04-15	08099	21.0	2022-09-25	51.0	30	20
2021-04-15	08101	365.0	2022-09-25	840.0	475	314
2021-04-15	08103	4.0	2022-09-25	13.0	9	6
2021-04-15	08105	14.0	2022-09-25	46.0	32	21
2021-04-15	08107	20.0	2022-09-25	32.0	12	8
2021-04-15	08109	4.0	2022-09-25	12.0	8	5
2021-04-15	08111	0.0	2022-09-25	0.0	0	0
2021-04-15	08113	0.0	2022-09-25	8.0	8	5
2021-04-15	08115	2.0	2022-09-25	10.0	8	5
